Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
0	0.67	0.67	5.77316e-15	0	0.67	0.67	5.77316e-15	0	0.67	0.67	5.77316e-15	0
100	0.5661	0.667359	0.0113202	0.122	0.5883	0.670902	0.0108909	0.108	0.5645	0.675498	0.00963771	0.11
200	0.5402	0.66861	0.0128015	0.135	0.5811	0.666111	0.0208902	0.091	0.5765	0.675049	0.0105503	0.103
300	0.5631	0.667295	0.0185472	0.116	0.5251	0.67039	0.0169319	0.149	0.5807	0.677156	0.0115802	0.121
400	0.5472	0.676219	0.0117863	0.163	0.5635	0.678692	0.0163306	0.138	0.5787	0.682946	0.0135737	0.113
500	0.578	0.679832	0.0173299	0.124	0.5591	0.675876	0.0225708	0.131	0.5644	0.672825	0.0162114	0.127
600	0.5367	0.685301	0.0166341	0.14	0.5809	0.674408	0.0145399	0.11	0.5479	0.667571	0.0238507	0.126
700	0.572	0.682093	0.0194057	0.114	0.5389	0.671639	0.0134461	0.137	0.5696	0.667042	0.0241697	0.123
800	0.5228	0.683465	0.0138102	0.168	0.5612	0.671721	0.0124988	0.121	0.5902	0.657865	0.0256298	0.079
900	0.5724	0.689324	0.0164816	0.139	0.567	0.671064	0.0169353	0.136	0.5529	0.678374	0.0216661	0.129
1000	0.5574	0.69168	0.0167925	0.146	0.5266	0.673605	0.0149917	0.176	0.564	0.677586	0.0197508	0.119
1100	0.5524	0.679023	0.0216943	0.136	0.5447	0.678978	0.016434	0.153	0.5525	0.680076	0.0209898	0.125
1200	0.5466	0.674552	0.0245746	0.146	0.5601	0.678793	0.0198965	0.128	0.5594	0.683101	0.0213155	0.148
1300	0.5546	0.673767	0.0316931	0.135	0.5469	0.679278	0.0190542	0.124	0.5942	0.683332	0.0248172	0.097
1400	0.5743	0.656236	0.0339215	0.108	0.5676	0.673293	0.015423	0.119	0.5482	0.689333	0.0266981	0.132
1500	0.5158	0.646175	0.0366713	0.156	0.5714	0.672879	0.0249452	0.127	0.5844	0.683276	0.0309707	0.102
1600	0.5494	0.646129	0.0316366	0.108	0.5462	0.67056	0.0191092	0.14	0.6021	0.677048	0.0236381	0.083
1700	0.5645	0.65822	0.0303824	0.104	0.5354	0.661928	0.0209097	0.168	0.549	0.680549	0.015616	0.152
1800	0.5382	0.661346	0.0313137	0.137	0.5445	0.662336	0.0207644	0.129	0.5697	0.678471	0.0182474	0.106
1900	0.5364	0.661242	0.0327928	0.13	0.5563	0.655882	0.0244045	0.112	0.5923	0.686486	0.0171294	0.114
2000	0.5788	0.683798	0.035163	0.098	0.5586	0.657602	0.0158821	0.098	0.5701	0.689383	0.0135085	0.129
2100	0.5685	0.679714	0.0422381	0.127	0.545	0.65913	0.0120891	0.144	0.5524	0.681366	0.0150522	0.14
2200	0.5708	0.674536	0.03762	0.112	0.559	0.666502	0.0175991	0.118	0.5302	0.687999	0.0226916	0.174
2300	0.5514	0.675972	0.0390927	0.155	0.5278	0.662702	0.0211542	0.16	0.5685	0.670703	0.0307586	0.109
2400	0.5874	0.674825	0.0461887	0.095	0.5758	0.663045	0.0301006	0.106	0.576	0.67501	0.0303838	0.105
