Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.33	0	0.33	0.33	6.66134e-16	0
100	0.9466	-nan	0.9466	0.947389	0.00872608	0	0.0625	-nan	0.0625	0.0629196	0.0102892	0	0.3243	-nan	0.3243	0.326258	0.00988287	0
200	0.9479	-nan	0.9479	0.945899	0.0102605	0	0.0806	-nan	0.0806	0.0864517	0.0108392	0	0.3316	-nan	0.3316	0.329997	0.0149199	0
300	0.9426	-nan	0.9426	0.939666	0.013212	0	0.1127	-nan	0.1127	0.111833	0.0135677	0	0.3291	-nan	0.3291	0.323872	0.0108013	0
400	0.9318	-nan	0.9318	0.929224	0.0180671	0	0.1284	-nan	0.1284	0.131168	0.011765	0	0.3217	-nan	0.3217	0.322574	0.0143467	0
500	0.8985	-nan	0.8985	0.898195	0.0201412	0	0.1345	-nan	0.1345	0.1369	0.0111081	0	0.3339	-nan	0.3339	0.330189	0.0187819	0
600	0.8786	-nan	0.8786	0.878901	0.0197906	0	0.1448	-nan	0.1448	0.146961	0.0126255	0	0.3409	-nan	0.3409	0.334511	0.0201357	0
700	0.857	-nan	0.857	0.857022	0.0179154	0	0.163	-nan	0.163	0.155352	0.0126323	0	0.326	-nan	0.326	0.332737	0.0360354	0
800	0.8237	-nan	0.8237	0.821706	0.0195634	0	0.163	-nan	0.163	0.167387	0.0150968	0	0.3316	-nan	0.3316	0.326361	0.0381471	0
900	0.7992	-nan	0.7992	0.796577	0.0178377	0	0.1827	-nan	0.1827	0.182336	0.0154913	0	0.3276	-nan	0.3276	0.334022	0.0362947	0
1000	0.7804	-nan	0.7804	0.775963	0.0134801	0	0.2009	-nan	0.2009	0.19639	0.0103748	0	0.3366	-nan	0.3366	0.335975	0.0227791	0
1100	0.7605	-nan	0.7605	0.762254	0.0150506	0	0.1958	-nan	0.1958	0.192826	0.0147355	0	0.3333	-nan	0.3333	0.331814	0.0117282	0
1200	0.7504	-nan	0.7504	0.750725	0.0153838	0	0.193	-nan	0.193	0.199428	0.0112144	0	0.332	-nan	0.332	0.321902	0.0157804	0
1300	0.7382	-nan	0.7382	0.738731	0.015502	0	0.2026	-nan	0.2026	0.198432	0.0137462	0	0.3281	-nan	0.3281	0.323065	0.0127359	0
1400	0.73	-nan	0.73	0.72522	0.014238	0	0.2017	-nan	0.2017	0.201582	0.0156472	0	0.3236	-nan	0.3236	0.324826	0.0118968	0
1500	0.7131	-nan	0.7131	0.715004	0.0121552	0	0.2114	-nan	0.2114	0.209157	0.0129683	0	0.3293	-nan	0.3293	0.327875	0.00812194	0
1600	0.71	-nan	0.71	0.712658	0.0161098	0	0.2137	-nan	0.2137	0.214538	0.0132666	0	0.3201	-nan	0.3201	0.32494	0.0123431	0
1700	0.7022	-nan	0.7022	0.703496	0.0175916	0	0.2181	-nan	0.2181	0.223143	0.00984391	0	0.328	-nan	0.328	0.327407	0.0132937	0
1800	0.6892	-nan	0.6892	0.686942	0.0142413	0	0.2273	-nan	0.2273	0.226748	0.00750899	0	0.334	-nan	0.334	0.329379	0.011725	0
1900	0.6612	-nan	0.6612	0.668866	0.0143015	0	0.2335	-nan	0.2335	0.229462	0.00883075	0	0.3334	-nan	0.3334	0.330393	0.012044	0
2000	0.6585	-nan	0.6585	0.660996	0.0228594	0	0.2273	-nan	0.2273	0.233145	0.00937669	0	0.3347	-nan	0.3347	0.328129	0.0160448	0
2100	0.6503	-nan	0.6503	0.653872	0.0180189	0	0.237	-nan	0.237	0.234764	0.0124958	0	0.3335	-nan	0.3335	0.330154	0.017647	0
2200	0.641	-nan	0.641	0.647388	0.0147572	0	0.2422	-nan	0.2422	0.245129	0.0153371	0	0.3307	-nan	0.3307	0.331233	0.012382	0
2300	0.642	-nan	0.642	0.63713	0.0196306	0	0.2529	-nan	0.2529	0.253655	0.015797	0	0.3478	-nan	0.3478	0.34005	0.0133153	0
2400	0.6249	-nan	0.6249	0.62507	0.0197908	0	0.2684	-nan	0.2684	0.266644	0.0106633	0	0.3344	-nan	0.3344	0.33078	0.0166727	0
2500	0.6082	-nan	0.6082	0.618255	0.0176919	0	0.2737	-nan	0.2737	0.276069	0.00962071	0	0.3389	-nan	0.3389	0.332598	0.0175744	0
2600	0.5941	-nan	0.5941	0.601139	0.025465	0	0.2782	-nan	0.2782	0.275819	0.0144772	0	0.3253	-nan	0.3253	0.337579	0.0198227	0
2700	0.5773	-nan	0.5773	0.583194	0.0251807	0	0.2957	-nan	0.2957	0.290205	0.0159365	0	0.3221	-nan	0.3221	0.333851	0.0118514	0
2800	0.5605	-nan	0.5605	0.565833	0.0241746	0	0.2964	-nan	0.2964	0.296636	0.0200572	0	0.327	-nan	0.327	0.331133	0.0180832	0
2900	0.5533	-nan	0.5533	0.554912	0.0123709	0	0.3119	-nan	0.3119	0.306345	0.0243847	0	0.3352	-nan	0.3352	0.338995	0.0308431	0
3000	0.5563	-nan	0.5563	0.558975	0.0134054	0	0.298	-nan	0.298	0.30922	0.0291268	0	0.3393	-nan	0.3393	0.340364	0.0315938	0
3100	0.5508	-nan	0.5508	0.553832	0.0127786	0	0.2915	-nan	0.2915	0.300436	0.0248479	0	0.345	-nan	0.345	0.341282	0.0218539	0
3200	0.5512	-nan	0.5512	0.548718	0.0201483	0	0.3017	-nan	0.3017	0.29814	0.0270069	0	0.3318	-nan	0.3318	0.33698	0.0242021	0
3300	0.5197	-nan	0.5197	0.523251	0.032504	0	0.2867	-nan	0.2867	0.286954	0.0228038	0	0.3421	-nan	0.3421	0.342845	0.0232661	0
3400	0.5065	-nan	0.5065	0.509745	0.0319334	0	0.289	-nan	0.289	0.290594	0.0181471	0	0.3465	-nan	0.3465	0.338874	0.0197286	0
