Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9469	-nan	0.9469	0.948041	0.00857658	0	0.0878	-nan	0.0878	0.0870153	0.014025	0	0.6692	-nan	0.6692	0.675955	0.0126937	0
200	0.9449	-nan	0.9449	0.943244	0.0103714	0	0.139	-nan	0.139	0.143807	0.00764607	0	0.6781	-nan	0.6781	0.674738	0.0142505	0
300	0.9271	-nan	0.9271	0.924842	0.0212618	0	0.1636	-nan	0.1636	0.160427	0.00858178	0	0.6777	-nan	0.6777	0.675073	0.0132446	0
400	0.9063	-nan	0.9063	0.90589	0.0165396	0	0.1745	-nan	0.1745	0.179454	0.0138445	0	0.6772	-nan	0.6772	0.673063	0.0187738	0
500	0.8975	-nan	0.8975	0.897273	0.0176175	0	0.2007	-nan	0.2007	0.20114	0.0114025	0	0.674	-nan	0.674	0.674745	0.0174511	0
600	0.8969	-nan	0.8969	0.892896	0.0159873	0	0.211	-nan	0.211	0.216281	0.0120828	0	0.6874	-nan	0.6874	0.683434	0.017885	0
700	0.8905	-nan	0.8905	0.891148	0.0157004	0	0.2422	-nan	0.2422	0.237816	0.0121353	0	0.6676	-nan	0.6676	0.674411	0.0191633	0
800	0.8866	-nan	0.8866	0.886089	0.0131449	0	0.2484	-nan	0.2484	0.252402	0.0111334	0	0.6795	-nan	0.6795	0.677225	0.0147354	0
900	0.8824	-nan	0.8824	0.883515	0.0159745	0	0.2644	-nan	0.2644	0.2584	0.00912926	0	0.6794	-nan	0.6794	0.681063	0.0169722	0
1000	0.8772	-nan	0.8772	0.875572	0.0245291	0	0.2682	-nan	0.2682	0.26669	0.0101523	0	0.6821	-nan	0.6821	0.682069	0.026035	0
1100	0.8656	-nan	0.8656	0.866618	0.0246344	0	0.286	-nan	0.286	0.283787	0.0138446	0	0.688	-nan	0.688	0.686563	0.0242939	0
1200	0.8584	-nan	0.8584	0.860471	0.0226091	0	0.2906	-nan	0.2906	0.30158	0.0136777	0	0.6954	-nan	0.6954	0.68813	0.0244728	0
1300	0.8613	-nan	0.8613	0.857517	0.0209698	0	0.3165	-nan	0.3165	0.312849	0.0115905	0	0.6934	-nan	0.6934	0.688538	0.0284107	0
1400	0.8458	-nan	0.8458	0.840793	0.0170944	0	0.3196	-nan	0.3196	0.321078	0.0191355	0	0.6852	-nan	0.6852	0.689431	0.0228575	0
1500	0.8356	-nan	0.8356	0.840247	0.0152114	0	0.3451	-nan	0.3451	0.341078	0.0134723	0	0.6999	-nan	0.6999	0.697317	0.0215901	0
1600	0.8337	-nan	0.8337	0.838656	0.0177513	0	0.3536	-nan	0.3536	0.353539	0.0150659	0	0.6901	-nan	0.6901	0.688643	0.0261314	0
1700	0.8219	-nan	0.8219	0.828019	0.0168409	0	0.3522	-nan	0.3522	0.359771	0.0146234	0	0.6817	-nan	0.6817	0.67287	0.0267691	0
1800	0.8249	-nan	0.8249	0.823189	0.0185668	0	0.3721	-nan	0.3721	0.369548	0.0117624	0	0.6833	-nan	0.6833	0.674377	0.0306464	0
1900	0.8123	-nan	0.8123	0.816876	0.0159069	0	0.3842	-nan	0.3842	0.381333	0.0153559	0	0.6686	-nan	0.6686	0.670215	0.0352977	0
2000	0.8134	-nan	0.8134	0.815209	0.0183866	0	0.3899	-nan	0.3899	0.388834	0.0129057	0	0.6691	-nan	0.6691	0.669265	0.0413417	0
2100	0.7991	-nan	0.7991	0.808418	0.0151467	0	0.3998	-nan	0.3998	0.397382	0.0103238	0	0.6489	-nan	0.6489	0.647546	0.0315048	0
2200	0.8085	-nan	0.8085	0.810524	0.0191745	0	0.4031	-nan	0.4031	0.404086	0.0126283	0	0.6439	-nan	0.6439	0.646681	0.0365608	0
2300	0.8035	-nan	0.8035	0.799973	0.014056	0	0.4098	-nan	0.4098	0.411381	0.020718	0	0.6458	-nan	0.6458	0.640302	0.0300399	0
2400	0.8012	-nan	0.8012	0.801597	0.0171682	0	0.4373	-nan	0.4373	0.426709	0.0190981	0	0.6341	-nan	0.6341	0.633747	0.0198243	0
2500	0.79	-nan	0.79	0.799122	0.0221501	0	0.4224	-nan	0.4224	0.428888	0.0168868	0	0.6199	-nan	0.6199	0.623489	0.0145868	0
2600	0.7924	-nan	0.7924	0.791685	0.0233574	0	0.4469	-nan	0.4469	0.445127	0.0166082	0	0.606	-nan	0.606	0.615888	0.0147131	0
2700	0.8056	-nan	0.8056	0.807488	0.0139885	0	0.4563	-nan	0.4563	0.449545	0.00995301	0	0.6158	-nan	0.6158	0.618625	0.0112755	0
2800	0.8007	-nan	0.8007	0.799694	0.016414	0	0.4514	-nan	0.4514	0.454092	0.0114315	0	0.6235	-nan	0.6235	0.62444	0.0191075	0
2900	0.8076	-nan	0.8076	0.806322	0.0117293	0	0.4595	-nan	0.4595	0.455447	0.0111282	0	0.6284	-nan	0.6284	0.624247	0.0265699	0
3000	0.8093	-nan	0.8093	0.803729	0.0133378	0	0.4532	-nan	0.4532	0.461149	0.0222839	0	0.6417	-nan	0.6417	0.647982	0.0173657	0
3100	0.7952	-nan	0.7952	0.794062	0.0154831	0	0.4887	-nan	0.4887	0.498857	0.024051	0	0.6573	-nan	0.6573	0.652433	0.013572	0
3200	0.7873	-nan	0.7873	0.788272	0.0163997	0	0.5091	-nan	0.5091	0.510034	0.023108	0	0.6492	-nan	0.6492	0.653949	0.0166108	0
3300	0.7976	-nan	0.7976	0.788618	0.0221747	0	0.5258	-nan	0.5258	0.528106	0.0132308	0	0.6478	-nan	0.6478	0.641899	0.0194958	0
3400	0.7852	-nan	0.7852	0.78529	0.024299	0	0.5226	-nan	0.5226	0.531604	0.0116635	0	0.6496	-nan	0.6496	0.646212	0.0248229	0
3500	0.7851	-nan	0.7851	0.783262	0.02297	0	0.5363	-nan	0.5363	0.538023	0.0120703	0	0.6527	-nan	0.6527	0.653194	0.0193668	0
3600	0.7939	-nan	0.7939	0.786807	0.0286558	0	0.541	-nan	0.541	0.542458	0.00974624	0	0.6511	-nan	0.6511	0.650992	0.0154592	0
3700	0.7759	-nan	0.7759	0.777066	0.0229714	0	0.546	-nan	0.546	0.544116	0.0115866	0	0.6577	-nan	0.6577	0.65549	0.012749	0
3800	0.771	-nan	0.771	0.768043	0.0251733	0	0.5391	-nan	0.5391	0.5434	0.0160788	0	0.6621	-nan	0.6621	0.662441	0.0152031	0
3900	0.7779	-nan	0.7779	0.768509	0.0225166	0	0.5449	-nan	0.5449	0.547396	0.0172787	0	0.6797	-nan	0.6797	0.682398	0.022626	0
4000	0.7682	-nan	0.7682	0.767288	0.0219023	0	0.5566	-nan	0.5566	0.552666	0.01998	0	0.6716	-nan	0.6716	0.68477	0.0143162	0
4100	0.7675	-nan	0.7675	0.770019	0.0243585	0	0.5777	-nan	0.5777	0.564133	0.0137441	0	0.6901	-nan	0.6901	0.681286	0.0124035	0
4200	0.7626	-nan	0.7626	0.762398	0.0222633	0	0.5631	-nan	0.5631	0.566583	0.0125319	0	0.6754	-nan	0.6754	0.676374	0.0149502	0
4300	0.7578	-nan	0.7578	0.758237	0.0250701	0	0.5631	-nan	0.5631	0.55701	0.0182618	0	0.6761	-nan	0.6761	0.674024	0.0129807	0
4400	0.7625	-nan	0.7625	0.767642	0.0269977	0	0.5533	-nan	0.5533	0.556849	0.0176569	0	0.6744	-nan	0.6744	0.6721	0.0160831	0
4500	0.7517	-nan	0.7517	0.748644	0.0181249	0	0.565	-nan	0.565	0.558348	0.0168088	0	0.6678	-nan	0.6678	0.672841	0.0182514	0
4600	0.7458	-nan	0.7458	0.751433	0.0246375	0	0.5621	-nan	0.5621	0.558756	0.0223143	0	0.6695	-nan	0.6695	0.666943	0.0126328	0
4700	0.7459	-nan	0.7459	0.749509	0.0190697	0	0.5624	-nan	0.5624	0.567453	0.0183055	0	0.6667	-nan	0.6667	0.675039	0.0146977	0
4800	0.7413	-nan	0.7413	0.74282	0.0212376	0	0.5654	-nan	0.5654	0.566581	0.0182784	0	0.6752	-nan	0.6752	0.673348	0.0150092	0
4900	0.7271	-nan	0.7271	0.732323	0.0261695	0	0.5684	-nan	0.5684	0.562044	0.019602	0	0.6661	-nan	0.6661	0.670975	0.0166333	0
5000	0.7176	-nan	0.7176	0.71868	0.0276625	0	0.563	-nan	0.563	0.562853	0.0177906	0	0.6617	-nan	0.6617	0.66871	0.0180105	0
5100	0.7112	-nan	0.7112	0.716038	0.0327315	0	0.56	-nan	0.56	0.566711	0.0180348	0	0.6519	-nan	0.6519	0.662462	0.0165637	0
5200	0.7127	-nan	0.7127	0.714935	0.0298647	0	0.5818	-nan	0.5818	0.573672	0.0190414	0	0.648	-nan	0.648	0.654776	0.0149085	0
5300	0.7111	-nan	0.7111	0.714558	0.030786	0	0.5719	-nan	0.5719	0.569444	0.0211991	0	0.656	-nan	0.656	0.663159	0.0178223	0
5400	0.7021	-nan	0.7021	0.701233	0.0274196	0	0.5678	-nan	0.5678	0.568502	0.0214435	0	0.6706	-nan	0.6706	0.661524	0.0153663	0
5500	0.7113	-nan	0.7113	0.71686	0.0344493	0	0.5771	-nan	0.5771	0.577643	0.0187528	0	0.6603	-nan	0.6603	0.660753	0.0252794	0
5600	0.7083	-nan	0.7083	0.715108	0.0338233	0	0.5884	-nan	0.5884	0.587267	0.0137803	0	0.6648	-nan	0.6648	0.664394	0.0295279	0
5700	0.7127	-nan	0.7127	0.709085	0.0274466	0	0.5906	-nan	0.5906	0.58754	0.0161696	0	0.6569	-nan	0.6569	0.654528	0.0356829	0
