Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.9476	-nan	0.9476	0.948832	0.00714345	0	0.0945	-nan	0.0945	0.0944487	0.00778725	0	0.6642	-nan	0.6642	0.67051	0.00705583	0
200	0.9463	-nan	0.9463	0.943306	0.011681	0	0.1129	-nan	0.1129	0.118279	0.0100934	0	0.6739	-nan	0.6739	0.670682	0.0169829	0
300	0.9516	-nan	0.9516	0.945569	0.0102177	0	0.1389	-nan	0.1389	0.139938	0.0175279	0	0.6786	-nan	0.6786	0.675377	0.0113304	0
400	0.9445	-nan	0.9445	0.943375	0.0122438	0	0.1633	-nan	0.1633	0.170534	0.0101137	0	0.6817	-nan	0.6817	0.676732	0.0114625	0
500	0.9391	-nan	0.9391	0.93965	0.0149196	0	0.1835	-nan	0.1835	0.184012	0.0108144	0	0.674	-nan	0.674	0.675021	0.00905364	0
600	0.9341	-nan	0.9341	0.933697	0.0156848	0	0.2024	-nan	0.2024	0.205385	0.011529	0	0.6778	-nan	0.6778	0.673973	0.0139074	0
700	0.9214	-nan	0.9214	0.921061	0.0144833	0	0.2396	-nan	0.2396	0.234266	0.0166043	0	0.6757	-nan	0.6757	0.680162	0.0174529	0
800	0.9184	-nan	0.9184	0.91709	0.0163129	0	0.2504	-nan	0.2504	0.254537	0.0149633	0	0.6888	-nan	0.6888	0.684651	0.0157204	0
900	0.9074	-nan	0.9074	0.907515	0.0202806	0	0.282	-nan	0.282	0.274759	0.0118882	0	0.6818	-nan	0.6818	0.682936	0.0195069	0
1000	0.8999	-nan	0.8999	0.897563	0.0247771	0	0.2856	-nan	0.2856	0.282275	0.0124473	0	0.6808	-nan	0.6808	0.681773	0.0229021	0
1100	0.8831	-nan	0.8831	0.881742	0.0193037	0	0.2958	-nan	0.2958	0.295836	0.0157731	0	0.6835	-nan	0.6835	0.681829	0.0246344	0
1200	0.8737	-nan	0.8737	0.878812	0.0173203	0	0.3037	-nan	0.3037	0.312474	0.0162647	0	0.6868	-nan	0.6868	0.68217	0.0212137	0
1300	0.8777	-nan	0.8777	0.874453	0.0180593	0	0.3332	-nan	0.3332	0.331284	0.0130022	0	0.6931	-nan	0.6931	0.689354	0.0161741	0
1400	0.8871	-nan	0.8871	0.881278	0.0194274	0	0.3374	-nan	0.3374	0.340306	0.0115966	0	0.6869	-nan	0.6869	0.692805	0.0161459	0
1500	0.8658	-nan	0.8658	0.867686	0.0166116	0	0.3482	-nan	0.3482	0.344482	0.0139402	0	0.6936	-nan	0.6936	0.693253	0.0138253	0
1600	0.8596	-nan	0.8596	0.864411	0.0184738	0	0.3639	-nan	0.3639	0.361087	0.018149	0	0.6899	-nan	0.6899	0.688363	0.0191329	0
1700	0.8651	-nan	0.8651	0.868945	0.0215368	0	0.3687	-nan	0.3687	0.37365	0.0173759	0	0.6823	-nan	0.6823	0.675092	0.0182859	0
1800	0.8614	-nan	0.8614	0.860449	0.022766	0	0.3896	-nan	0.3896	0.389018	0.0130924	0	0.6898	-nan	0.6898	0.678988	0.0303468	0
1900	0.8464	-nan	0.8464	0.848617	0.0148849	0	0.4061	-nan	0.4061	0.402215	0.0133127	0	0.677	-nan	0.677	0.678189	0.0353107	0
2000	0.8427	-nan	0.8427	0.842578	0.0167037	0	0.4113	-nan	0.4113	0.410182	0.0135029	0	0.6863	-nan	0.6863	0.687515	0.0392279	0
2100	0.8364	-nan	0.8364	0.843554	0.0201633	0	0.4193	-nan	0.4193	0.417019	0.0101762	0	0.689	-nan	0.689	0.688151	0.0357391	0
2200	0.8307	-nan	0.8307	0.830008	0.0206459	0	0.4257	-nan	0.4257	0.424169	0.0151189	0	0.6908	-nan	0.6908	0.692087	0.0379107	0
2300	0.8277	-nan	0.8277	0.825727	0.0194988	0	0.4364	-nan	0.4364	0.43999	0.0134557	0	0.7002	-nan	0.7002	0.701578	0.0445321	0
2400	0.8236	-nan	0.8236	0.824753	0.0163786	0	0.4638	-nan	0.4638	0.451397	0.0160311	0	0.7235	-nan	0.7235	0.719209	0.0486875	0
2500	0.8102	-nan	0.8102	0.819352	0.0117116	0	0.4545	-nan	0.4545	0.458731	0.0114401	0	0.6987	-nan	0.6987	0.697985	0.0403415	0
2600	0.8173	-nan	0.8173	0.817537	0.0119839	0	0.4628	-nan	0.4628	0.460028	0.0130757	0	0.6848	-nan	0.6848	0.693193	0.0409889	0
2700	0.8075	-nan	0.8075	0.808777	0.0170466	0	0.4702	-nan	0.4702	0.464271	0.0220333	0	0.7018	-nan	0.7018	0.699533	0.0421157	0
2800	0.8053	-nan	0.8053	0.807646	0.0171708	0	0.4738	-nan	0.4738	0.475525	0.0191679	0	0.6852	-nan	0.6852	0.68631	0.038175	0
2900	0.8072	-nan	0.8072	0.804615	0.0283966	0	0.4893	-nan	0.4893	0.482828	0.0216524	0	0.6772	-nan	0.6772	0.675247	0.0390317	0
3000	0.7923	-nan	0.7923	0.789102	0.0321699	0	0.5073	-nan	0.5073	0.514021	0.0240879	0	0.6739	-nan	0.6739	0.681698	0.0414032	0
3100	0.7829	-nan	0.7829	0.784555	0.0322051	0	0.5028	-nan	0.5028	0.50807	0.0294564	0	0.6907	-nan	0.6907	0.691107	0.0307077	0
3200	0.7564	-nan	0.7564	0.759939	0.0281727	0	0.5192	-nan	0.5192	0.51836	0.0298381	0	0.6907	-nan	0.6907	0.693214	0.0269604	0
3300	0.7779	-nan	0.7779	0.771921	0.0261554	0	0.524	-nan	0.524	0.524478	0.0307193	0	0.6871	-nan	0.6871	0.679176	0.0333897	0
3400	0.7601	-nan	0.7601	0.760925	0.0332618	0	0.5222	-nan	0.5222	0.531364	0.0236886	0	0.6769	-nan	0.6769	0.673292	0.0248427	0
3500	0.7521	-nan	0.7521	0.748826	0.031978	0	0.5399	-nan	0.5399	0.540431	0.0322863	0	0.672	-nan	0.672	0.67145	0.0175045	0
3600	0.7536	-nan	0.7536	0.74784	0.0254835	0	0.5444	-nan	0.5444	0.545832	0.0274871	0	0.6762	-nan	0.6762	0.674658	0.0130488	0
3700	0.7377	-nan	0.7377	0.743232	0.0206236	0	0.5429	-nan	0.5429	0.538963	0.021628	0	0.6689	-nan	0.6689	0.663973	0.01718	0
3800	0.7492	-nan	0.7492	0.745309	0.0227407	0	0.544	-nan	0.544	0.545531	0.0198806	0	0.6653	-nan	0.6653	0.666321	0.0170832	0
3900	0.752	-nan	0.752	0.745341	0.0212764	0	0.5467	-nan	0.5467	0.549018	0.0212226	0	0.6612	-nan	0.6612	0.663298	0.0205387	0
4000	0.7316	-nan	0.7316	0.731368	0.0266162	0	0.5496	-nan	0.5496	0.544743	0.0170536	0	0.6499	-nan	0.6499	0.661511	0.0183375	0
4100	0.6979	-nan	0.6979	0.703628	0.0344534	0	0.5652	-nan	0.5652	0.55443	0.0203578	0	0.6798	-nan	0.6798	0.67089	0.0211197	0
4200	0.7025	-nan	0.7025	0.70172	0.0307928	0	0.5492	-nan	0.5492	0.554652	0.021211	0	0.6629	-nan	0.6629	0.665636	0.0257281	0
4300	0.695	-nan	0.695	0.698765	0.0213936	0	0.5646	-nan	0.5646	0.561247	0.0205891	0	0.6551	-nan	0.6551	0.650903	0.0238805	0
4400	0.6978	-nan	0.6978	0.698496	0.0212751	0	0.559	-nan	0.559	0.560614	0.0293821	0	0.6548	-nan	0.6548	0.652287	0.0155087	0
4500	0.6926	-nan	0.6926	0.689322	0.026812	0	0.5735	-nan	0.5735	0.566756	0.020962	0	0.6507	-nan	0.6507	0.652327	0.0157175	0
4600	0.6769	-nan	0.6769	0.681657	0.0226842	0	0.5767	-nan	0.5767	0.573821	0.0220559	0	0.6575	-nan	0.6575	0.65575	0.0189016	0
4700	0.6759	-nan	0.6759	0.675677	0.0198562	0	0.5727	-nan	0.5727	0.57706	0.0183772	0	0.642	-nan	0.642	0.646818	0.0188489	0
4800	0.6738	-nan	0.6738	0.677216	0.0189615	0	0.5877	-nan	0.5877	0.588199	0.0119337	0	0.6536	-nan	0.6536	0.649327	0.0215292	0
4900	0.6828	-nan	0.6828	0.686682	0.0244674	0	0.5939	-nan	0.5939	0.583744	0.0145629	0	0.6368	-nan	0.6368	0.641029	0.0135198	0
5000	0.6767	-nan	0.6767	0.678864	0.022923	0	0.577	-nan	0.577	0.577119	0.018355	0	0.6303	-nan	0.6303	0.636851	0.0206561	0
5100	0.6818	-nan	0.6818	0.687524	0.0161103	0	0.5831	-nan	0.5831	0.587875	0.021388	0	0.6341	-nan	0.6341	0.644696	0.0144018	0
5200	0.6924	-nan	0.6924	0.694653	0.0201971	0	0.6035	-nan	0.6035	0.593987	0.0306573	0	0.6404	-nan	0.6404	0.648537	0.01199	0
5300	0.6956	-nan	0.6956	0.697255	0.0233795	0	0.5968	-nan	0.5968	0.597953	0.0285632	0	0.6415	-nan	0.6415	0.648172	0.0155245	0
5400	0.6916	-nan	0.6916	0.691312	0.0268354	0	0.6068	-nan	0.6068	0.606345	0.0278678	0	0.6559	-nan	0.6559	0.649324	0.0187692	0
5500	0.6862	-nan	0.6862	0.692906	0.019719	0	0.6068	-nan	0.6068	0.605256	0.0298864	0	0.6502	-nan	0.6502	0.65569	0.0203586	0
5600	0.6889	-nan	0.6889	0.693913	0.0215265	0	0.6149	-nan	0.6149	0.616765	0.0351895	0	0.6589	-nan	0.6589	0.661969	0.0108249	0
5700	0.6933	-nan	0.6933	0.687241	0.0235384	0	0.6416	-nan	0.6416	0.639518	0.0136162	0	0.664	-nan	0.664	0.660791	0.0121024	0
5800	0.6864	-nan	0.6864	0.686263	0.0247114	0	0.6433	-nan	0.6433	0.640966	0.0126412	0	0.6542	-nan	0.6542	0.666208	0.0137683	0
5900	0.6908	-nan	0.6908	0.696867	0.0224521	0	0.6385	-nan	0.6385	0.633505	0.013953	0	0.6612	-nan	0.6612	0.662275	0.0160226	0
6000	0.7028	-nan	0.7028	0.699513	0.0183872	0	0.6449	-nan	0.6449	0.63848	0.0170376	0	0.6676	-nan	0.6676	0.664254	0.0202187	0
6100	0.6951	-nan	0.6951	0.694389	0.019161	0	0.6478	-nan	0.6478	0.644824	0.0176735	0	0.6686	-nan	0.6686	0.666271	0.0118278	0
6200	0.6827	-nan	0.6827	0.686485	0.0224242	0	0.6457	-nan	0.6457	0.648279	0.0168199	0	0.6676	-nan	0.6676	0.665902	0.012947	0
