Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.05	0	0.05	0.05	7.07767e-16	0	0.15	0	0.15	0.15	2.83107e-15	0	0.25	0	0.25	0.25	0	0	0.35	0	0.35	0.35	3.21965e-15	0	0.45	0	0.45	0.45	7.54952e-15	0	0.55	0	0.55	0.55	4.32987e-15	0	0.65	0	0.65	0.65	1.22125e-14	0	0.75	0	0.75	0.75	0	0	0.85	0	0.85	0.85	1.46549e-14	0	0.95	0	0.95	0.95	1.67644e-14	0
500	0.1837	-nan	0.1837	0.185514	0.0152238	0	0.2507	-nan	0.2507	0.24419	0.0116873	0	0.2934	-nan	0.2934	0.290015	0.0171363	0	0.3764	-nan	0.3764	0.37484	0.0125518	0	0.4613	-nan	0.4613	0.461468	0.0150159	0	0.5658	-nan	0.5658	0.565519	0.0216352	0	0.6579	-nan	0.6579	0.658883	0.0140826	0	0.7493	-nan	0.7493	0.750391	0.0171758	0	0.8405	-nan	0.8405	0.839448	0.0125028	0	0.9152	-nan	0.9152	0.914121	0.0220723	0
1000	0.2879	-nan	0.2879	0.288748	0.0134808	0	0.3219	-nan	0.3219	0.322939	0.0168219	0	0.4129	-nan	0.4129	0.415679	0.017454	0	0.4382	-nan	0.4382	0.445087	0.0260475	0	0.4775	-nan	0.4775	0.48187	0.0175357	0	0.5896	-nan	0.5896	0.594993	0.015961	0	0.6719	-nan	0.6719	0.665031	0.0256538	0	0.7273	-nan	0.7273	0.729642	0.0229243	0	0.8171	-nan	0.8171	0.813628	0.0226962	0	0.8826	-nan	0.8826	0.885133	0.0130861	0
1500	0.3453	-nan	0.3453	0.34096	0.0175224	0	0.413	-nan	0.413	0.410388	0.0141552	0	0.4265	-nan	0.4265	0.428304	0.0184141	0	0.4907	-nan	0.4907	0.494858	0.0161454	0	0.5118	-nan	0.5118	0.512186	0.00962434	0	0.6088	-nan	0.6088	0.599402	0.0188256	0	0.6772	-nan	0.6772	0.676584	0.0314264	0	0.6921	-nan	0.6921	0.689023	0.0338843	0	0.7969	-nan	0.7969	0.799421	0.0283496	0	0.8467	-nan	0.8467	0.8504	0.0216155	0
2000	0.4051	-nan	0.4051	0.397912	0.0203132	0	0.455	-nan	0.455	0.449509	0.0124239	0	0.4645	-nan	0.4645	0.468987	0.0175342	0	0.5218	-nan	0.5218	0.520515	0.0226017	0	0.5206	-nan	0.5206	0.526906	0.0262645	0	0.597	-nan	0.597	0.592457	0.0175543	0	0.6711	-nan	0.6711	0.672858	0.0307956	0	0.6644	-nan	0.6644	0.672394	0.0217034	0	0.7568	-nan	0.7568	0.766264	0.0228855	0	0.826	-nan	0.826	0.827385	0.0322627	0
2500	0.4601	-nan	0.4601	0.471676	0.0122829	0	0.4637	-nan	0.4637	0.468631	0.0129585	0	0.4841	-nan	0.4841	0.492488	0.0221568	0	0.554	-nan	0.554	0.552841	0.0309677	0	0.58	-nan	0.58	0.569122	0.0222234	0	0.6013	-nan	0.6013	0.600918	0.0292935	0	0.6846	-nan	0.6846	0.68384	0.0217645	0	0.6863	-nan	0.6863	0.681964	0.0303757	0	0.7616	-nan	0.7616	0.769235	0.0182929	0	0.7694	-nan	0.7694	0.769645	0.0255407	0
3000	0.5015	-nan	0.5015	0.504464	0.0149288	0	0.4951	-nan	0.4951	0.493238	0.0282185	0	0.5152	-nan	0.5152	0.517531	0.0259008	0	0.6155	-nan	0.6155	0.608466	0.0117834	0	0.6177	-nan	0.6177	0.62232	0.0144412	0	0.617	-nan	0.617	0.622289	0.0258054	0	0.6512	-nan	0.6512	0.65865	0.0406295	0	0.6781	-nan	0.6781	0.676604	0.0132136	0	0.7489	-nan	0.7489	0.753484	0.0156029	0	0.752	-nan	0.752	0.74437	0.0217379	0
3500	0.535	-nan	0.535	0.534129	0.0446058	0	0.5069	-nan	0.5069	0.505154	0.0188478	0	0.554	-nan	0.554	0.556286	0.0233096	0	0.6201	-nan	0.6201	0.623319	0.0219813	0	0.6285	-nan	0.6285	0.624133	0.0275109	0	0.6384	-nan	0.6384	0.637568	0.0180806	0	0.6448	-nan	0.6448	0.648804	0.0223726	0	0.6757	-nan	0.6757	0.668426	0.0329959	0	0.7287	-nan	0.7287	0.727981	0.0333233	0	0.7332	-nan	0.7332	0.731389	0.0131838	0
4000	0.5724	-nan	0.5724	0.574932	0.0238116	0	0.5375	-nan	0.5375	0.542124	0.0287376	0	0.5967	-nan	0.5967	0.593891	0.0276197	0	0.642	-nan	0.642	0.639185	0.0154531	0	0.6112	-nan	0.6112	0.616776	0.0242123	0	0.642	-nan	0.642	0.641181	0.023501	0	0.655	-nan	0.655	0.651624	0.0356834	0	0.6269	-nan	0.6269	0.62768	0.0378206	0	0.6984	-nan	0.6984	0.702163	0.016113	0	0.6904	-nan	0.6904	0.693948	0.034361	0
4500	0.5756	-nan	0.5756	0.573484	0.0177488	0	0.5596	-nan	0.5596	0.55264	0.0196323	0	0.6316	-nan	0.6316	0.631771	0.0168909	0	0.6509	-nan	0.6509	0.647111	0.0219026	0	0.5889	-nan	0.5889	0.589639	0.0237973	0	0.626	-nan	0.626	0.627119	0.0180496	0	0.6656	-nan	0.6656	0.67333	0.0228115	0	0.6684	-nan	0.6684	0.66769	0.0431345	0	0.7063	-nan	0.7063	0.705753	0.0252951	0	0.6719	-nan	0.6719	0.675203	0.0282905	0
