Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
0;0,95;0;0,95;0,95;1,68E-14;0;0,05;0;0,05;0,05;7,08E-16;0;0,67;0;0,67;0,67;5,77E-15;0
100;0,9475;#NAME?;0,9475;0,947508;0,00861763;0;0,0523;#NAME?;0,0523;0,053841;0,00885864;0;0,665;#NAME?;0,665;0,671406;0,0108777;0
200;0,9449;#NAME?;0,9449;0,942786;0,00974458;0;0,0569;#NAME?;0,0569;0,0599332;0,0180285;0;0,6765;#NAME?;0,6765;0,673293;0,0151293;0
300;0,9429;#NAME?;0,9429;0,939013;0,0127467;0;0,0763;#NAME?;0,0763;0,0765014;0,0182117;0;0,6745;#NAME?;0,6745;0,671819;0,0117461;0
400;0,9369;#NAME?;0,9369;0,93455;0,0158935;0;0,0885;#NAME?;0,0885;0,0905173;0,0138038;0;0,6802;#NAME?;0,6802;0,675787;0,0193735;0
500;0,9178;#NAME?;0,9178;0,916914;0,0218641;0;0,0942;#NAME?;0,0942;0,0929079;0,0182356;0;0,6775;#NAME?;0,6775;0,678112;0,0280168;0
600;0,9059;#NAME?;0,9059;0,90359;0,0186477;0;0,088;#NAME?;0,088;0,0904143;0,0239954;0;0,6935;#NAME?;0,6935;0,689602;0,0332497;0
700;0,9032;#NAME?;0,9032;0,90338;0,0200116;0;0,1058;#NAME?;0,1058;0,100191;0,0136611;0;0,6987;#NAME?;0,6987;0,700072;0,0362473;0
800;0,8953;#NAME?;0,8953;0,896184;0,0200554;0;0,1018;#NAME?;0,1018;0,106141;0,0156947;0;0,71;#NAME?;0,71;0,706106;0,0411284;0
900;0,8874;#NAME?;0,8874;0,88864;0,0160837;0;0,1127;#NAME?;0,1127;0,112517;0,0162389;0;0,6849;#NAME?;0,6849;0,692777;0,0437628;0
1000;0,8818;#NAME?;0,8818;0,881968;0,00981434;0;0,1188;#NAME?;0,1188;0,118163;0,0155471;0;0,7055;#NAME?;0,7055;0,705538;0,0508316;0
1100;0,8746;#NAME?;0,8746;0,877553;0,0200449;0;0,1318;#NAME?;0,1318;0,129408;0,0190227;0;0,7085;#NAME?;0,7085;0,705307;0,0489465;0
1200;0,8709;#NAME?;0,8709;0,871882;0,0239717;0;0,1334;#NAME?;0,1334;0,139913;0,020077;0;0,7276;#NAME?;0,7276;0,722086;0,0526355;0
1300;0,869;#NAME?;0,869;0,866814;0,0247632;0;0,1532;#NAME?;0,1532;0,150267;0,0206521;0;0,7111;#NAME?;0,7111;0,704959;0,0600063;0
1400;0,8623;#NAME?;0,8623;0,859362;0,0290078;0;0,1688;#NAME?;0,1688;0,168926;0,0232968;0;0,6941;#NAME?;0,6941;0,696434;0,056219;0
1500;0,8472;#NAME?;0,8472;0,851786;0,0194834;0;0,1914;#NAME?;0,1914;0,186835;0,0185002;0;0,6855;#NAME?;0,6855;0,682617;0,0566157;0
1600;0,8555;#NAME?;0,8555;0,860913;0,0246017;0;0,1954;#NAME?;0,1954;0,199701;0,0207006;0;0,679;#NAME?;0,679;0,681147;0,0508232;0
1700;0,8561;#NAME?;0,8561;0,860112;0,0323659;0;0,2014;#NAME?;0,2014;0,208095;0,0168649;0;0,7063;#NAME?;0,7063;0,705432;0,0585363;0
1800;0,8561;#NAME?;0,8561;0,854118;0,0348513;0;0,2072;#NAME?;0,2072;0,206531;0,0176238;0;0,6903;#NAME?;0,6903;0,680374;0,0623203;0
1900;0,844;#NAME?;0,844;0,847918;0,0298524;0;0,2163;#NAME?;0,2163;0,211483;0,0180969;0;0,6946;#NAME?;0,6946;0,69293;0,0603426;0
2000;0,8402;#NAME?;0,8402;0,84215;0,0371011;0;0,2092;#NAME?;0,2092;0,214288;0,0151277;0;0,6871;#NAME?;0,6871;0,689132;0,0532083;0
2100;0,8227;#NAME?;0,8227;0,833471;0,0309397;0;0,2286;#NAME?;0,2286;0,228073;0,0141535;0;0,7146;#NAME?;0,7146;0,709852;0,0608267;0
2200;0,8315;#NAME?;0,8315;0,834234;0,0252875;0;0,2269;#NAME?;0,2269;0,229235;0,0160326;0;0,699;#NAME?;0,699;0,700488;0,0700429;0
2300;0,8279;#NAME?;0,8279;0,82099;0,0338613;0;0,2304;#NAME?;0,2304;0,231573;0,021003;0;0,6867;#NAME?;0,6867;0,678031;0,0727939;0
2400;0,8125;#NAME?;0,8125;0,816214;0,0284069;0;0,2376;#NAME?;0,2376;0,236329;0,0224976;0;0,6772;#NAME?;0,6772;0,678421;0,0727421;0
2500;0,8098;#NAME?;0,8098;0,819766;0,0349378;0;0,2498;#NAME?;0,2498;0,250691;0,01526;0;0,6266;#NAME?;0,6266;0,632417;0,063636;0
2600;0,7974;#NAME?;0,7974;0,794404;0,0343289;0;0,2546;#NAME?;0,2546;0,249541;0,0202523;0;0,6341;#NAME?;0,6341;0,644563;0,080752;0
2700;0,7843;#NAME?;0,7843;0,787904;0,0306241;0;0,2614;#NAME?;0,2614;0,25689;0,0195539;0;0,6544;#NAME?;0,6544;0,653662;0,0780758;0
2800;0,795;#NAME?;0,795;0,796309;0,0327939;0;0,2617;#NAME?;0,2617;0,262615;0,0177378;0;0,6383;#NAME?;0,6383;0,641051;0,0712328;0
2900;0,7858;#NAME?;0,7858;0,784956;0,0272979;0;0,2739;#NAME?;0,2739;0,269061;0,0169068;0;0,6104;#NAME?;0,6104;0,612112;0,0561025;0
3000;0,7794;#NAME?;0,7794;0,776083;0,0296528;0;0,2699;#NAME?;0,2699;0,280343;0,0148369;0;0,5871;#NAME?;0,5871;0,590499;0,0260083;0
3100;0,7879;#NAME?;0,7879;0,78944;0,0293127;0;0,2735;#NAME?;0,2735;0,283033;0,010434;0;0,5945;#NAME?;0,5945;0,588184;0,030985;0
3200;0,7642;#NAME?;0,7642;0,767213;0,0221908;0;0,2898;#NAME?;0,2898;0,285469;0,0114918;0;0,5905;#NAME?;0,5905;0,590806;0,0299993;0
3300;0,774;#NAME?;0,774;0,767901;0,0271458;0;0,2897;#NAME?;0,2897;0,28949;0,0121852;0;0,6064;#NAME?;0,6064;0,60244;0,0267173;0
3400;0,7744;#NAME?;0,7744;0,773036;0,0364528;0;0,2916;#NAME?;0,2916;0,292434;0,0163722;0;0,596;#NAME?;0,596;0,590603;0,0299971;0
3500;0,7833;#NAME?;0,7833;0,780634;0,040195;0;0,2944;#NAME?;0,2944;0,297534;0,0207918;0;0,5888;#NAME?;0,5888;0,587314;0,0272135;0
3600;0,7897;#NAME?;0,7897;0,784774;0,0493274;0;0,282;#NAME?;0,282;0,295206;0,0150431;0;0,5994;#NAME?;0,5994;0,596362;0,0222046;0
3700;0,8089;#NAME?;0,8089;0,810589;0,0509838;0;0,3026;#NAME?;0,3026;0,303064;0,0145063;0;0,6075;#NAME?;0,6075;0,602032;0,0260076;0
3800;0,8288;#NAME?;0,8288;0,824618;0,0528626;0;0,3038;#NAME?;0,3038;0,305143;0,0162296;0;0,6022;#NAME?;0,6022;0,599812;0,0259888;0
3900;0,8011;#NAME?;0,8011;0,79538;0,0586211;0;0,3055;#NAME?;0,3055;0,300981;0,0178613;0;0,6182;#NAME?;0,6182;0,614937;0,0297379;0
4000;0,7953;#NAME?;0,7953;0,795716;0,0530993;0;0,2948;#NAME?;0,2948;0,294214;0,0182678;0;0,6246;#NAME?;0,6246;0,637144;0,029607;0
4100;0,7755;#NAME?;0,7755;0,780655;0,0571423;0;0,3068;#NAME?;0,3068;0,299785;0,0224036;0;0,6514;#NAME?;0,6514;0,639609;0,0366262;0
4200;0,7801;#NAME?;0,7801;0,783696;0,054739;0;0,3202;#NAME?;0,3202;0,317175;0,0199582;0;0,6541;#NAME?;0,6541;0,657078;0,0370212;0
4300;0,7616;#NAME?;0,7616;0,763759;0,0566067;0;0,3279;#NAME?;0,3279;0,331901;0,0208785;0;0,6452;#NAME?;0,6452;0,645576;0,0372521;0
4400;0,75;#NAME?;0,75;0,748549;0,0563889;0;0,3387;#NAME?;0,3387;0,343071;0,0164542;0;0,6517;#NAME?;0,6517;0,646881;0,0436613;0
4500;0,7347;#NAME?;0,7347;0,734487;0,046357;0;0,341;#NAME?;0,341;0,341506;0,0188483;0;0,659;#NAME?;0,659;0,661469;0,0369132;0
4600;0,725;#NAME?;0,725;0,725925;0,0318677;0;0,3521;#NAME?;0,3521;0,349089;0,0181947;0;0,6708;#NAME?;0,6708;0,668761;0,0338666;0
4700;0,7068;#NAME?;0,7068;0,70717;0,0263507;0;0,3434;#NAME?;0,3434;0,34441;0,020245;0;0,6813;#NAME?;0,6813;0,686134;0,0344771;0
4800;0,7006;#NAME?;0,7006;0,702798;0,0213638;0;0,3417;#NAME?;0,3417;0,344666;0,0216456;0;0,7013;#NAME?;0,7013;0,695722;0,0330768;0
4900;0,6965;#NAME?;0,6965;0,701569;0,0292301;0;0,3456;#NAME?;0,3456;0,342311;0,021472;0;0,6633;#NAME?;0,6633;0,666529;0,0464226;0
5000;0,7091;#NAME?;0,7091;0,709185;0,032861;0;0,3599;#NAME?;0,3599;0,353765;0,0249473;0;0,6695;#NAME?;0,6695;0,675111;0,0385229;0
5100;0,7045;#NAME?;0,7045;0,709684;0,032336;0;0,3584;#NAME?;0,3584;0,36672;0,0241719;0;0,6432;#NAME?;0,6432;0,652105;0,0434376;0
5200;0,7165;#NAME?;0,7165;0,718631;0,0258995;0;0,3667;#NAME?;0,3667;0,365979;0,021673;0;0,6305;#NAME?;0,6305;0,637407;0,0368312;0
5300;0,7157;#NAME?;0,7157;0,717786;0,0301572;0;0,3599;#NAME?;0,3599;0,362852;0,020415;0;0,6432;#NAME?;0,6432;0,648033;0,0353803;0
5400;0,7195;#NAME?;0,7195;0,722862;0,0310947;0;0,3605;#NAME?;0,3605;0,363349;0,0245656;0;0,672;#NAME?;0,672;0,66579;0,0383578;0
5500;0,7106;#NAME?;0,7106;0,715299;0,0326513;0;0,3695;#NAME?;0,3695;0,370914;0,0207935;0;0,6868;#NAME?;0,6868;0,688849;0,0335102;0
5600;0,7212;#NAME?;0,7212;0,726272;0,0361225;0;0,3823;#NAME?;0,3823;0,377507;0,0290228;0;0,6951;#NAME?;0,6951;0,699001;0,0269336;0
5700;0,7225;#NAME?;0,7225;0,717183;0,0250547;0;0,4114;#NAME?;0,4114;0,402939;0,027401;0;0,6961;#NAME?;0,6961;0,689906;0,0339464;0
5800;0,7162;#NAME?;0,7162;0,710565;0,0189653;0;0,3976;#NAME?;0,3976;0,399073;0,0190897;0;0,6623;#NAME?;0,6623;0,671976;0,0414768;0
5900;0,7052;#NAME?;0,7052;0,707091;0,0212435;0;0,4067;#NAME?;0,4067;0,402343;0,0183287;0;0,6753;#NAME?;0,6753;0,676109;0,0427375;0
6000;0,7148;#NAME?;0,7148;0,707427;0,020916;0;0,3987;#NAME?;0,3987;0,400125;0,0136021;0;0,6994;#NAME?;0,6994;0,695076;0,0419897;0
6100;0,7041;#NAME?;0,7041;0,704932;0,0294281;0;0,3985;#NAME?;0,3985;0,393177;0,0133648;0;0,6924;#NAME?;0,6924;0,688647;0,0431544;0
6200;0,7083;#NAME?;0,7083;0,713046;0,0313355;0;0,3929;#NAME?;0,3929;0,395839;0,0121648;0;0,7001;#NAME?;0,7001;0,698551;0,0343725;0
6300;0,7068;#NAME?;0,7068;0,701794;0,032801;0;0,3954;#NAME?;0,3954;0,399084;0,0134574;0;0,6905;#NAME?;0,6905;0,698648;0,0367359;0
