Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0.05	0	0.05	0.05	7.07767e-16	0	0.67	0	0.67	0.67	5.77316e-15	0
100	0.4953	0.465385	0.932813	0.949242	0.00974172	0.926	0.4422	0.726117	0.04689	0.0508732	0.00952434	0.571	0.5064	0.478404	0.667568	0.667163	0.00869479	0.865
200	0.5049	0.474038	0.95625	0.947625	0.0082186	0.939	0.4363	0.724269	0.0369928	0.0429373	0.0136893	0.547	0.4942	0.474806	0.670707	0.660934	0.0215965	0.911
300	0.5177	0.475383	0.967442	0.950921	0.0100514	0.911	0.4279	0.746182	0.0388889	0.042714	0.0140673	0.552	0.5077	0.489769	0.686813	0.673121	0.0193227	0.92
400	0.4885	0.464601	0.9625	0.956074	0.0176128	0.959	0.4387	0.732526	0.0362559	0.039338	0.0173438	0.565	0.4951	0.475885	0.676042	0.67624	0.028936	0.899
500	0.5155	0.494013	0.941667	0.953295	0.0180919	0.948	0.4162	0.764313	0.0329832	0.028645	0.0133682	0.565	0.5188	0.505269	0.657303	0.654062	0.0263225	0.919
600	0.4867	0.451343	0.963768	0.964017	0.0205853	0.933	0.4274	0.732224	0.0216783	0.0227728	0.0147947	0.524	0.4869	0.465628	0.676238	0.660137	0.0332346	0.902
700	0.4784	0.433261	0.977108	0.98188	0.0159816	0.916	0.4293	0.744346	0.0184332	0.0159359	0.010421	0.555	0.4961	0.479341	0.665556	0.653716	0.0357322	0.915
800	0.5044	0.463696	0.9725	0.979949	0.0175579	0.923	0.4343	0.750348	0.0084507	0.00784593	0.00872307	0.579	0.4898	0.470168	0.657143	0.657307	0.0273786	0.882
900	0.5095	0.483192	0.97037	0.969233	0.0247586	0.943	0.4261	0.731076	0.0117925	0.010137	0.0129928	0.565	0.5149	0.492849	0.678151	0.667945	0.0213736	0.883
1000	0.4983	0.46656	0.986885	0.980548	0.0199428	0.937	0.4026	0.77874	0.0142276	0.0133894	0.0148474	0.515	0.4942	0.480927	0.665278	0.663947	0.0191248	0.927
1100	0.5059	0.469968	0.976056	0.977708	0.02545	0.937	0.4257	0.764781	0.0146018	0.013859	0.0155001	0.565	0.5112	0.497574	0.644086	0.655178	0.0284157	0.911
1200	0.501	0.472853	0.966667	0.981661	0.0191062	0.933	0.4206	0.772222	0.00782609	0.00665066	0.0113638	0.541	0.5097	0.498158	0.648052	0.665745	0.0299213	0.912
1300	0.5199	0.494626	0.990196	0.986546	0.0123877	0.94	0.4364	0.766904	0.0123288	0.0115443	0.018189	0.543	0.4979	0.471034	0.677692	0.66693	0.0191107	0.871
1400	0.4808	0.424192	0.973786	0.979028	0.0216407	0.902	0.4368	0.744845	0.00789474	0.00723173	0.0137545	0.587	0.4962	0.481527	0.634375	0.655691	0.0250219	0.897
1500	0.5115	0.467834	0.975581	0.976135	0.0169961	0.924	0.4173	0.764825	0.00437637	0.00500714	0.0130933	0.543	0.5089	0.501163	0.644444	0.648972	0.024258	0.938
1600	0.4981	0.473662	0.993617	0.98664	0.0136401	0.953	0.434	0.748611	0.00660377	0.00766472	0.0131376	0.569	0.4898	0.47658	0.637805	0.662006	0.0331916	0.924
1700	0.4766	0.453661	0.975	0.978495	0.0277388	0.963	0.4302	0.759253	0.00799087	0.00750513	0.00914418	0.556	0.4873	0.47022	0.66	0.654955	0.0221399	0.889
1800	0.5149	0.464673	0.982474	0.983452	0.010375	0.916	0.4351	0.758566	0.00280374	0.00172624	0.00445112	0.58	0.4956	0.482334	0.642169	0.652223	0.0225062	0.914
1900	0.5174	0.480346	0.981081	0.98511	0.0125854	0.923	0.4383	0.735135	0.00759804	0.00629183	0.014809	0.599	0.4904	0.465629	0.65188	0.651834	0.0260405	0.873
2000	0.5138	0.480856	0.987692	0.98569	0.0133125	0.947	0.4282	0.775318	0.00222717	0.00330603	0.00358607	0.579	0.5053	0.478704	0.674265	0.658112	0.0274431	0.861
2100	0.5103	0.465536	0.986047	0.985123	0.0096491	0.93	0.4191	0.775465	0.00411255	0.00479493	0.00718711	0.562	0.5064	0.480742	0.666667	0.645148	0.0175606	0.848
2200	0.5	0.448505	0.979381	0.982047	0.0111728	0.903	0.4266	0.738569	0.00796253	0.00687791	0.0101268	0.593	0.4994	0.482575	0.652525	0.649023	0.0111001	0.906
2300	0.5126	0.473268	0.990789	0.984757	0.0116657	0.942	0.4183	0.769742	0.00240175	0.00201722	0.00385137	0.555	0.4982	0.474171	0.6664	0.644885	0.0145786	0.904
2400	0.5068	0.478496	0.983929	0.989193	0.0131428	0.932	0.4208	0.744405	0.00389016	0.00233757	0.00468518	0.551	0.4975	0.4746	0.656349	0.644758	0.0143657	0.859
2500	0.5071	0.468973	0.977333	0.970955	0.0156948	0.927	0.4369	0.760315	0.0046729	0.00348456	0.00558868	0.581	0.5082	0.495248	0.67027	0.654611	0.0121304	0.922
2600	0.4996	0.451322	0.976087	0.97131	0.00984996	0.92	0.4215	0.764234	0.00597345	0.00467208	0.00722626	0.563	0.517	0.497332	0.639855	0.651602	0.0161113	0.848
2700	0.4911	0.455424	0.972464	0.965146	0.0115698	0.93	0.4421	0.730348	0.00428212	0.00443612	0.00501662	0.585	0.5065	0.486231	0.627972	0.636282	0.016267	0.862
2800	0.5115	0.484428	0.967857	0.968243	0.0140306	0.957	0.4512	0.754104	0.00248139	0.0024676	0.00751467	0.577	0.4878	0.476757	0.624	0.636341	0.0186846	0.917
2900	0.5005	0.456707	0.984337	0.973867	0.0128569	0.908	0.4287	0.750615	0.0037123	0.00365479	0.0061583	0.593	0.496	0.477247	0.632231	0.636362	0.0127366	0.883
