Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
0;0,95;0,95;0;#NAME?;#NAME?;1;0,05;0,05;0;#NAME?;#NAME?;1;0,67;0,67;0;#NAME?;#NAME?;1
100;0,94;0,0545455;0,949848;0,948775;0,00869143;0,027;0,0634;0,935294;0,0483215;0,0496847;0,00666176;0,017;0,6563;0,317647;0,662157;0,668981;0,00855998;0,018
200;0,9296;0,0173913;0,951075;0,94928;0,0100838;0,025;0,0682;0,930435;0,0479017;0,0525192;0,0110011;0,016;0,6714;0,411765;0,67589;0,670771;0,00796769;0,015
300;0,9303;0,0333333;0,952357;0,947783;0,0162188;0,017;0,0823;0,925;0,0580247;0,0623609;0,0190786;0,025;0,6707;0,366667;0,67533;0,671865;0,0146953;0,011
400;0,9299;0,0526316;0,946891;0,944669;0,0116686;0,02;0,0891;0,947059;0,0742625;0,0759131;0,0229818;0,017;0,6744;0,4;0,677452;0,672245;0,0136373;0,013
500;0,9279;0,05;0,943992;0,944305;0,012838;0,021;0,1075;0,865217;0,0896622;0,0902382;0,022611;0,029;0,6636;0,331034;0,673532;0,674708;0,0134869;0,022
600;0,9245;0,025;0,942857;0,941402;0,015646;0,021;0,1147;0,915385;0,0933265;0,0939215;0,0191391;0,019;0,6778;0,3;0,683943;0,678532;0,0182283;0,015
700;0,927;0,055;0,944796;0,942198;0,0201065;0,022;0,1165;0,878571;0,10568;0,0998267;0,0187311;0,02;0,6708;0,290476;0,678958;0,68486;0,0157634;0,02
800;0,9274;0,0866667;0,940203;0,94345;0,0249467;0,012;0,1194;0,8875;0,106911;0,111237;0,0150598;0,021;0,6916;0,32;0,697259;0,695256;0,0165531;0,015
900;0,9138;0,05;0,929633;0,929868;0,0151942;0,023;0,1246;0,91;0,116667;0,11732;0,0209789;0,016;0,6937;0,323077;0,698582;0,70023;0,0189154;0,015
