Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
0;0,95;0;0,95;0,95;1,68E-14;0;0,05;0;0,05;0,05;7,08E-16;0;0,67;0;0,67;0,67;5,77E-15;0
100;0,5041;0,48019;0,94902;0,950793;0,00727368;0,941;0,4307;0,719338;0,041784;0,0461543;0,00785538;0,566;0,5144;0,443396;0,671704;0,672538;0,00991732;0,722
200;0,5026;0,483733;0,943902;0,94167;0,0093379;0,951;0,4301;0,731754;0,0302326;0,0347954;0,0164804;0,575;0,4851;0,464634;0,673469;0,671679;0,0132204;0,895
300;0,5093;0,475699;0,955714;0,938459;0,0139374;0,929;0,4208;0,744262;0,027051;0,0282914;0,017701;0,527;0,5044;0,491361;0,667568;0,664181;0,0132283;0,927
400;0,4986;0,474234;0,933962;0,933923;0,0101272;0,958;0,4359;0,726689;0,0139706;0,0174665;0,0136439;0,586;0,4978;0,485269;0,664286;0,662495;0,0160509;0,939
500;0,5183;0,490638;0,951667;0,947039;0,0136162;0,947;0,4373;0,748873;0,0122931;0,0104855;0,0120171;0,578;0,5217;0,506791;0,678161;0,666267;0,020385;0,923
600;0,4894;0,434081;0,946296;0,943556;0,00914504;0,889;0,4161;0,766108;0,0101512;0,010799;0,0156402;0,565;0,485;0,469641;0,659259;0,676141;0,0267241;0,922
700;0,485;0,448112;0,953425;0,947165;0,0160288;0,932;0,4318;0,737739;0,0178824;0,015489;0,0105685;0,543;0,4912;0,478433;0,666176;0,662575;0,0324601;0,934
800;0,5001;0,480628;0,913333;0,938925;0,0175894;0,957;0,4234;0,77551;0,0117137;0,0128028;0,0124485;0,55;0,4986;0,488715;0,718605;0,678858;0,0243032;0,941
900;0,5081;0,483789;0,97;0,955225;0,0150477;0,954;0,4451;0,742327;0,0120393;0,00908959;0,0110985;0,586;0,5135;0,489884;0,658571;0,658792;0,0266431;0,883
1000;0,4964;0,472632;0,948;0,941895;0,0180047;0,943;0,4157;0,773764;0,0183544;0,0167795;0,0171901;0,519;0,5021;0,480365;0,655645;0,648945;0,0254568;0,874
1100;0,5012;0,467169;0,946479;0,949523;0,0256206;0,937;0,4139;0,763941;0,00627706;0,00789998;0,0104961;0,539;0,508;0,500315;0,660417;0,634362;0,0182415;0,931
1200;0,5019;0,470726;0,957812;0,944707;0,0200906;0,931;0,4364;0,755035;0,00353774;0,00423122;0,00646988;0,578;0,5233;0,514103;0,657813;0,634806;0,0378274;0,942
