Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
0;0,67;0,67;5,77E-15;1;0;0,67;0,67;5,77E-15;1;0;0,67;0,67;5,77E-15;1;0
100;0,683;0,67181;0,00771764;0,998242;0,00404958;0,7183;0,668108;0,0101876;0,99679;0,00546144;0,6666;0,670014;0,00574293;0,996456;0,00627452
200;0,6048;0,674009;0,0112828;0,998169;0,0043088;0,6786;0,671947;0,0132166;0,99622;0,00670407;0,7123;0,670153;0,0104577;0,995408;0,00853968
300;0,6095;0,669846;0,0149174;0,996902;0,00492926;0,7031;0,667138;0,0198375;0,995386;0,00687386;0,6294;0,670517;0,016363;0,997149;0,00571539
400;0,6774;0,668953;0,0217274;0,994523;0,00643803;0,6465;0,652689;0,0221669;0,994337;0,00652131;0,7109;0,674844;0,0162117;0,996869;0,00582575
500;0,6819;0,666803;0,0266876;0,994196;0,00631521;0,6519;0,645316;0,0180567;0,994773;0,00768806;0,6272;0,680813;0,019271;0,99462;0,0079029
600;0,6565;0,655238;0,0353238;0,994184;0,00612827;0,6662;0,644778;0,0207109;0,993321;0,00813794;0,6382;0,681363;0,0202682;0,99489;0,00857994
700;0,6519;0,647607;0,03881;0,991152;0,00894216;0,6984;0,642984;0,016937;0,99335;0,00889304;0,6878;0,687345;0,0170911;0,995014;0,00638774
800;0,6419;0,674572;0,0253461;0,98754;0,0149036;0,7;0,633265;0,0145684;0,991085;0,00951078;0,6862;0,684649;0,0186791;0,996682;0,00677005
900;0,6572;0,677558;0,0237254;0,995371;0,00883929;0,6958;0,629776;0,0190386;0,993216;0,0122897;0,6906;0,685422;0,023954;0,995934;0,00632635
1000;0,638;0,679343;0,0196607;0,995459;0,00693139;0,646;0,622196;0,0114057;0,98961;0,0151424;0,7437;0,687238;0,0234618;0,996818;0,00549429
1100;0,624;0,67502;0,0226429;0,994589;0,00530958;0,6693;0,622577;0,0157618;0,981962;0,0240908;0,6904;0,692687;0,021261;0,996485;0,00653067
1200;0,6317;0,67846;0,0257581;0,995623;0,00536116;0,6716;0,61369;0,0171745;0,982174;0,0203176;0,6864;0,685512;0,0198674;0,996963;0,00509952
1300;0,6177;0,691347;0,0173435;0,992924;0,0101915;0,6962;0,618891;0,017706;0,992517;0,0114362;0,6631;0,690045;0,0149422;0,993811;0,00770929
1400;0,6304;0,689774;0,0144711;0,993104;0,00947074;0,6683;0,61838;0,0179919;0,997374;0,00738687;0,685;0,685754;0,0157425;0,992962;0,00727568
1500;0,674;0,691493;0,0115852;0,99172;0,0106413;0,6476;0,611776;0,022562;0,997139;0,0057828;0,6127;0,691911;0,0149275;0,992139;0,00986609
1600;0,6786;0,687363;0,014486;0,991748;0,00882523;0,7007;0,611225;0,0212825;0,993536;0,00909479;0,6286;0,688937;0,0203733;0,989672;0,0116053
1700;0,6427;0,692638;0,0156888;0,993854;0,00790007;0,7307;0,610351;0,0216726;0,993362;0,00899157;0,6448;0,681728;0,0195457;0,993984;0,00821502
1800;0,6285;0,696035;0,0166512;0,99086;0,0122164;0,6696;0,628559;0,0213979;0,990654;0,0110063;0,6288;0,680464;0,0168454;0,995247;0,00631296
1900;0,6113;0,695663;0,0198729;0,993122;0,00910335;0,6673;0,628224;0,0196958;0,995536;0,00710182;0,6303;0,683212;0,0146639;0,990051;0,00904186
2000;0,647;0,713301;0,0211539;0,990536;0,00889895;0,6102;0,628165;0,0229871;0,993726;0,00956728;0,6457;0,689004;0,0117108;0,993097;0,00792669
2100;0,6347;0,71729;0,0228036;0,992106;0,00894548;0,6528;0,626963;0,0206747;0,988373;0,0149051;0,6261;0,684748;0,0208457;0,990175;0,00995245
2200;0,6218;0,713234;0,0293559;0,988032;0,0104177;0,6075;0,622421;0,0234141;0,988403;0,0165517;0,6662;0,67689;0,0144108;0,989948;0,0115835
2300;0,6402;0,710042;0,0273882;0,987981;0,0123597;0,6694;0,620963;0,0260243;0,98832;0,0139016;0,6677;0,678164;0,0174051;0,986671;0,0130168
2400;0,6258;0,696102;0,0206591;0,988181;0,0125803;0,6828;0,62944;0,0257311;0,985649;0,0171612;0,626;0,677787;0,0158597;0,9879;0,0121879
2500;0,6339;0,693345;0,0158443;0,990765;0,0113054;0,6786;0,625757;0,0260242;0,991304;0,012085;0,6304;0,679264;0,0154653;0,991295;0,0119484
2600;0,6812;0,700337;0,0172577;0,996436;0,00535686;0,6816;0,630247;0,0304854;0,992327;0,00738726;0,6669;0,681548;0,0163539;0,994548;0,00936875
2700;0,6657;0,701695;0,0183569;0,994201;0,00890371;0,6886;0,625397;0,0358999;0,992661;0,00728051;0,6595;0,677317;0,0209416;0,991013;0,00854908
2800;0,6212;0,702016;0,0237879;0,989883;0,0119767;0,6782;0,629688;0,0352892;0,992536;0,00804222;0,6894;0,690693;0,0178804;0,991021;0,00723556
2900;0,6274;0,703873;0,0239096;0,992684;0,00871696;0,6843;0,619724;0,0320672;0,984323;0,0119511;0,6959;0,694347;0,021745;0,992553;0,00868398
3000;0,635;0,703562;0,0153511;0,992393;0,00754239;0,6934;0,628442;0,0419954;0,979368;0,0119401;0,6498;0,703686;0,0218308;0,993288;0,0064234
3100;0,6444;0,703345;0,0192988;0,99182;0,00879682;0,7012;0,637732;0,0452475;0,976707;0,0130762;0,6848;0,714655;0,0218751;0,993939;0,00793776
3200;0,6369;0,709586;0,014862;0,99006;0,0126624;0,6852;0,630899;0,0464886;0,980863;0,0133038;0,6163;0,71466;0,0250675;0,98911;0,01131
3300;0,6642;0,712858;0,0224283;0,993843;0,00635476;0,6733;0,627069;0,0414296;0,981003;0,0177309;0,6371;0,704298;0,0228516;0,989177;0,0118749
3400;0,5979;0,700322;0,0205976;0,992436;0,010634;0,6733;0,620254;0,0405468;0,985146;0,0210196;0,6183;0,709052;0,0242278;0,990317;0,0122297
3500;0,5394;0,706019;0,021431;0,994711;0,00800344;0,6476;0,619864;0,0397213;0,987007;0,0226026;0,6002;0,714066;0,0236004;0,987979;0,0142502
3600;0,5961;0,707019;0,0251859;0,995845;0,00703651;0,6476;0,630348;0,0522592;0,989446;0,0126567;0,665;0,717912;0,0201454;0,99237;0,00979215
3700;0,6232;0,699257;0,0237281;0,995803;0,00657825;0,6455;0,613535;0,0445964;0,992635;0,00799356;0,6529;0,707332;0,0207848;0,991739;0,00728718
3800;0,5932;0,685952;0,031668;0,994259;0,00906738;0,6973;0,625431;0,0459732;0,994314;0,00726457;0,6944;0,699604;0,0201718;0,992738;0,0102623
3900;0,5941;0,698645;0,027566;0,992507;0,00787884;0,6643;0,624448;0,036476;0,992991;0,00806522;0,6177;0,695829;0,0212398;0,992034;0,0115706
4000;0,635;0,707013;0,0286529;0,992071;0,00870803;0,7149;0,612279;0,0285149;0,994117;0,00575775;0,6292;0,694723;0,0224739;0,989655;0,0140766
4100;0,6557;0,703252;0,0283337;0,992378;0,00774007;0,6708;0,619747;0,0310504;0,991067;0,00776584;0,6064;0,69889;0,0243932;0,988924;0,0149714
4200;0,6384;0,690855;0,0242547;0,991236;0,0094607;0,6523;0,627262;0,0332898;0,991739;0,00988873;0,6016;0,693323;0,0265462;0,990086;0,0145801
4300;0,6069;0,686382;0,0246513;0,99675;0,00553518;0,6891;0,624908;0,0281833;0,989711;0,0103945;0,6779;0,68994;0,0209666;0,990304;0,0132646
