Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0	0.05	0	0.05	0.05	7.07767e-16	0	0	0.67	0	0.67	0.67	5.77316e-15	0	0
5000	0.6205	0.351916	0.655332	0.660596	0.0423884	0.113583	0.0177068	0.4344	0.778159	0.0073991	0.00642805	0.00801315	0.544933	0.0574802	0.6417	0.364646	0.672142	0.668416	0.0309868	0.0958829	0.0334193
10000	0.5761	0.442353	0.582037	0.57003	0.0122631	0.0447692	0.0170277	0.4254	0.738668	0.00398687	0.00320812	0.00590436	0.58176	0.0502835	0.5239	0.45657	0.53864	0.543475	0.0211256	0.17452	0.0146197
15000	0.6695	0.297762	0.69243	0.70071	0.0518283	0.0590858	0.0312248	0.4413	0.745665	0.00655658	0.00770715	0.0110602	0.583723	0.0154795	0.5226	0.464618	0.532031	0.530527	0.0348977	0.137284	0.023197
20000	0.6212	0.331862	0.666705	0.659632	0.0463902	0.139698	0.0324643	0.4334	0.760212	0.00805524	0.0055462	0.00652086	0.558639	0.079105	0.6398	0.366935	0.65404	0.652188	0.0422828	0.0499604	0.0255466
25000	0.6052	0.350699	0.62694	0.622288	0.0464633	0.0757848	0.0427942	0.4141	0.778915	0.00698265	0.0076701	0.00894423	0.532732	0.0234525	0.622	0.369863	0.627645	0.628798	0.0465764	0.0195464	0.0149857
30000	0.6527	0.335526	0.657595	0.652326	0.0264359	0.0163956	0.00989981	0.4348	0.765071	0.00756881	0.00670192	0.00714884	0.564094	0.0305528	0.6433	0.329787	0.665382	0.659196	0.0293512	0.064996	0.0249511
35000	0.638	0.326816	0.649554	0.645621	0.049137	0.0363941	0.0175259	0.4263	0.75115	0.00436782	0.0044204	0.00588138	0.568942	0.0234673	0.6455	0.330808	0.658476	0.656571	0.0177294	0.0407912	0.0264972
40000	0.617	0.360256	0.63872	0.639759	0.0341691	0.0832981	0.0141664	0.4185	0.740292	0.00661195	0.00549074	0.0081893	0.563643	0.0429703	0.684	0.348624	0.687696	0.683858	0.0974378	0.0102561	0.00985711
45000	0.6066	0.380895	0.626949	0.628609	0.023741	0.0835983	0.0169765	0.4157	0.761843	0.0052459	0.00633873	0.00697941	0.546997	0.0407172	0.6229	0.351064	0.642047	0.629862	0.0761194	0.0682327	0.0159457
