Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
0	0.95	0	0.95	0.95	1.67644e-14	0	0	0.05	0	0.05	0.05	7.07767e-16	0	0	0.67	0	0.67	0.67	5.77316e-15	0	0
100	0.9515	-nan	0.9515	0.951082	0.0136437	0	0	0.0895	-nan	0.0895	0.0843775	0.0114418	0	0	0.6661	-nan	0.6661	0.671214	0.010147	0	0
200	0.9484	-nan	0.9484	0.949583	0.0185893	0	0	0.1219	-nan	0.1219	0.118555	0.0120167	0	0	0.6751	-nan	0.6751	0.673499	0.0106795	0	0
300	0.9428	-nan	0.9428	0.943245	0.0155796	0	0	0.1397	-nan	0.1397	0.13795	0.0130764	0	0	0.6697	-nan	0.6697	0.674947	0.017146	0	0
400	0.9359	-nan	0.9359	0.931246	0.0203054	0	0	0.1695	-nan	0.1695	0.164165	0.00844572	0	0	0.6826	-nan	0.6826	0.676294	0.0177714	0	0
500	0.9183	-nan	0.9183	0.918027	0.0249939	0	0	0.1829	-nan	0.1829	0.185321	0.0106345	0	0	0.6681	-nan	0.6681	0.666045	0.0180638	0	0
600	0.8941	-nan	0.8941	0.895899	0.0236645	0	0	0.2187	-nan	0.2187	0.223638	0.0276031	0	0	0.6558	-nan	0.6558	0.659239	0.0267923	0	0
700	0.8913	-nan	0.8913	0.892607	0.0191303	0	0	0.2649	-nan	0.2649	0.266069	0.0132531	0	0	0.6622	-nan	0.6622	0.658984	0.0276356	0	0
800	0.8883	-nan	0.8883	0.885427	0.0206328	0	0	0.2885	-nan	0.2885	0.282625	0.0144284	0	0	0.6558	-nan	0.6558	0.653256	0.0297263	0	0
900	0.8666	-nan	0.8666	0.867705	0.0227348	0	0	0.3057	-nan	0.3057	0.298699	0.0157403	0	0	0.6615	-nan	0.6615	0.650972	0.0403435	0	0
1000	0.8616	-nan	0.8616	0.859473	0.0239702	0	0	0.3101	-nan	0.3101	0.311894	0.00726069	0	0	0.6579	-nan	0.6579	0.656026	0.0495673	0	0
1100	0.875	-nan	0.875	0.865653	0.0268878	0	0	0.3205	-nan	0.3205	0.318209	0.0142625	0	0	0.6562	-nan	0.6562	0.652977	0.045449	0	0
