Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal
0	0.95	0	0.95	0.95	1.67644e-14	0	0.95	2.81044e-25	0.05	0	0.05	0.05	7.07767e-16	0	0.05	5.00934e-28	0.67	0	0.67	0.67	5.77316e-15	0	0.67	3.33294e-26
10	0.7605	0.04689	0.949052	0.949781	0.002609	0.241	0.950208	0.00978557	0.5696	0.952787	0.0532864	0.0497951	0.00233221	0.598	0.0497137	0.0181104	0.6486	0.340351	0.667232	0.66982	0.00256451	0.079	0.669863	0.0104967
20	0.6891	0.0442907	0.951195	0.950139	0.00347853	0.289	0.949675	0.0180249	0.6562	0.95403	0.0515152	0.0500778	0.00483292	0.649	0.0488808	0.0294947	0.6309	0.335294	0.670829	0.669973	0.00413853	0.124	0.670322	0.0230898
30	0.6461	0.0513433	0.945714	0.9505	0.00487476	0.326	0.949403	0.0329382	0.6577	0.947923	0.0576687	0.0503498	0.00624756	0.657	0.048699	0.0566061	0.6156	0.326875	0.670595	0.669643	0.00527108	0.154	0.670585	0.0378705
40	0.6427	0.0507289	0.95175	0.951055	0.00476362	0.338	0.949324	0.0297206	0.6425	0.95152	0.0479532	0.0481227	0.00688535	0.647	0.0482275	0.0343711	0.6174	0.32381	0.659725	0.670449	0.00582245	0.123	0.671449	0.0590632
50	0.6971	0.0442446	0.948476	0.950324	0.00585469	0.273	0.950195	0.0204642	0.6482	0.947976	0.0477477	0.0484151	0.00566946	0.689	0.047939	0.0673636	0.6125	0.327778	0.667542	0.66998	0.00592399	0.194	0.671363	0.0597116
60	0.6291	0.0421652	0.946533	0.948965	0.00604292	0.383	0.950457	0.0434467	0.6342	0.952006	0.0491477	0.0491361	0.00570847	0.661	0.046723	0.0652552	0.592	0.344397	0.666797	0.669958	0.00619827	0.226	0.670519	0.0587926
70	0.5998	0.0521851	0.948445	0.949721	0.0064684	0.359	0.949053	0.084356	0.6357	0.956037	0.0511299	0.0492691	0.00637693	0.666	0.045221	0.112771	0.6126	0.336269	0.678686	0.669711	0.00590946	0.201	0.670043	0.0645999
80	0.641	0.0560694	0.950459	0.950084	0.00665005	0.36	0.947998	0.0818843	0.6478	0.95279	0.0477745	0.0488096	0.00688685	0.673	0.0460896	0.0885274	0.5829	0.331818	0.663061	0.66885	0.00682398	0.23	0.669959	0.131456
90	0.6529	0.0522796	0.947392	0.949512	0.00807843	0.304	0.947214	0.110775	0.6877	0.953748	0.0457338	0.0480034	0.00862248	0.693	0.0471058	0.0793691	0.5922	0.316505	0.663728	0.668562	0.00730679	0.201	0.670367	0.102275
