P0	Ps	Pi
0.114358	0.0140649	1
0.112425	0	0
0.0904211	0.0121117	0
0.086691	0	1
0.10587	0	1
0.115508	0.00745509	1
0.115703	0	1
0.108463	0.000360669	0
0.0487547	0.00269267	1
0.114871	0.00193372	1
0.110449	0.0140649	0
0.110449	0.0140649	0
0.127116	0.0152711	0
0.0498527	0.0336278	1
0.136111	0	0
0.114871	0.00193372	1
0.0961199	0.00540743	1
0.112524	0.0294764	1
0.108463	0.000360669	0
0.0961199	0.00540743	1
0.136111	0	0
0.108463	0	0
0.108463	0.000854807	1
0.114871	0.00193372	1
0.121392	0.0259992	1
0.0581166	0.00201563	1
0.0575883	0.0336278	1
0.033896	0.0209861	0
0.107263	0	1
0.0961199	0.00540743	1
0.110449	0.0140649	0
0.0928325	0.0108517	0
0.0581166	0.00201563	1
0.0498527	0.0336278	1
0.0848427	0.00748838	0
0.0950018	0	1
0.0917125	0.0121117	0
0.0904211	0	1
0.0961199	0	0
0.0487547	0.00269267	1
0.107263	0	0
0.128584	0	1
0.110449	0.0140649	0
0.108463	0	1
0.0487547	0.00269267	1
0.0961199	0	0
0.119411	0.00745509	0
0.0498527	0.0336278	1
0.101645	0.00163144	1
0.117397	0.000223955	0
0.110449	0.0140649	0
0.101167	0	1
0.0961199	0	1
0.0885591	0.00748838	0
0.0934618	0	0
0.112524	0.0294764	1
0.0961199	0	1
0.0990973	0	1
0.086691	0	1
0.0575883	0.0336278	1
0.122165	0.00545871	1
0.033896	0.0209861	1
0.108463	0	0
0.136111	0	0
0.136111	0	0
0.144028	0	1
0.0487547	0.00269267	1
0.115508	0.00745509	1
0.0961199	0	1
0.0885591	0.00748838	0
0.033896	0.0209861	1
0.12093	0.0263601	0
0.0884853	0.0102857	0
0.136111	0	1
0.101945	0.00540743	1
0.107742	0.00496812	1
0.10587	0	1
0.0961199	0	0
0.117897	0.00513718	1
0.0961199	0	1
0.115508	0.000223955	0
0.106192	0.016482	0
0.10587	0	1
0.0934618	0	0
0.10587	0	1
0.106192	0.016482	0
0.106192	0.016482	0
0.12093	0.00878536	1
0.110449	0.0140649	1
0.0472655	0.00269267	1
0.127116	0.0152711	0
0.033896	0.0209861	1
0.101945	0.00540743	1
0.0917125	0.0121117	0
0.115508	0.00745509	1
0.0961199	0	0
0.0904211	0	1
0.0961199	0	0
0.0821492	0	0
0.144028	0	1
0.144028	0	1
0.126877	0	1
0.086691	0	0
0.112524	0.0294764	1
0.086691	0	1
0.115508	0.000223955	0
0.101945	0.00540743	1
0.101945	0.00540743	1
0.0904211	0.0121117	0
0.033896	0.0209861	1
0.0498527	0.0336278	1
0.136111	0	0
0.115508	0.000223955	0
0.0498527	0.0347553	1
0.0498527	0.0336278	1
0.101645	0.002013	1
0.0959256	0	0
0.140674	0.00123464	1
0.108463	0.000360669	0
0.101945	0.00540743	1
0.0961199	0	0
0.114871	0.00193372	1
0.144028	0	1
0.0663	0.00681533	1
0.110449	0.0140649	0
0.0923601	0	1
0.108463	0.000854807	0
0.121392	0.0259992	1
0.110449	0.0140649	1
0.0934618	0	0
0.12093	0.0263601	0
0.0928325	0.0108517	0
0.0904211	0	1
0.128584	0	1
0.0904211	0.0121117	0
0.10587	0	1
0.0961199	0	0
0.144028	0	1
0.107742	0.00496812	1
0.122206	0.00878536	1
0.0904211	0.0121117	0
0.112524	0.0294764	1
0.136111	0	0
0.0744402	0	1
0.0961199	0	0
0.110449	0.0140649	0
0.0961199	0.01332	1
0.101945	0.00540743	1
0.0961199	0	0
0.0848427	0.00748838	0
0.0581166	0.00201563	1
